Flight time,Location,Aircraft name,Task Type,Sprayed area,Total Amount(L/Kg),Flight duration(min:sec),Crop,Pliot Name,Team Name,Field Name,Serial Number,Starting Battery Level,Ending Battery Level,Battery SN,source_file
2024-02-14 17:38:01-17:41:34,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.59,9.43,3:33,other,UTPL,default team,,R1655128344,46,21,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:45:41-17:48:53,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,11.42,15.37,3:12,other,UTPL,default team,,R1695173438,99,66,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:48:53-17:51:42,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,10.75,14.44,2:48,other,UTPL,default team,,R1735218532,66,44,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:51:42-17:52:58,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.84,2.32,1:16,other,UTPL,default team,,R1755241079,44,36,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:55:22-17:58:14,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,8.55,10.37,2:52,other,UTPL,default team,,R1995511643,100,72,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 17:58:14-18:01:11,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,9.97,13.29,2:56,other,UTPL,default team,,R2035556737,72,50,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 18:01:11-18:03:03,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.6,4.79,1:52,other,UTPL,default team,,R2075601831,50,38,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-14 18:06:00-18:07:47,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.89,10.63,1:46,other,UTPL,default team,,R2195737113,90,76,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:05:07-06:08:12,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.34,7.21,3:05,other,UTPL,default team,,R8232055987,99,65,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:08:12-06:10:19,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.49,7.34,2:06,other,UTPL,default team,,R8312146175,65,45,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:10:19-06:12:55,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,5.91,7.98,2:35,other,UTPL,default team,,R8332168722,45,26,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:15:34-06:18:43,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,6.47,8.7,3:09,other,UTPL,default team,,R8412258910,100,68,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:18:44-06:21:43,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,8,10.77,2:59,other,UTPL,default team,,R8452304004,68,43,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:23:09-06:25:08,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.38,4.54,1:59,other,UTPL,default team,,R8532394192,100,86,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:42:54-06:45:48,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,9.21,12.41,2:54,other,UTPL,default team,,R0097041347,90,57,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:45:48-06:48:19,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,7.01,9.44,2:30,other,UTPL,default team,,R0117063894,57,37,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-15 06:48:19-06:50:18,"Valencia-Lantapan Road, Purok 1, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.07,1.51,1:58,other,UTPL,default team,,R0137086441,37,23,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
