latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.838313,125.14066,313.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),precipitation (mm)
2024-01-15T15:00,27.6,20.9,44,74,0.30
2024-01-15T16:00,26.2,20.4,45,80,0.20
2024-01-15T17:00,25.9,17.8,45,81,0.10
2024-01-15T18:00,25.4,16.1,40,81,0.10
2024-01-15T19:00,25.1,15.0,46,83,0.10
2024-01-15T20:00,24.8,16.1,40,84,0.00
2024-01-15T21:00,24.4,14.3,47,88,2.60
2024-01-15T22:00,24.2,14.4,53,87,1.30
2024-01-15T23:00,24.2,15.0,48,87,1.90
2024-01-16T00:00,24.0,16.6,42,86,4.20
2024-01-16T01:00,23.7,15.5,48,87,2.60
2024-01-16T02:00,23.6,15.5,48,86,3.40
2024-01-16T03:00,23.5,11.5,46,86,3.40
2024-01-16T04:00,23.7,14.8,47,86,3.90
2024-01-16T05:00,23.6,15.5,48,87,2.20
2024-01-16T06:00,23.6,19.3,45,87,1.60
2024-01-16T07:00,23.7,18.9,42,88,0.60
2024-01-16T08:00,24.1,19.6,43,88,1.40
2024-01-16T09:00,23.7,19.9,42,87,1.00
2024-01-16T10:00,24.3,21.4,45,83,0.40
2024-01-16T11:00,24.1,19.6,43,85,0.70
2024-01-16T12:00,25.2,20.5,39,82,0.30
2024-01-16T13:00,25.3,20.0,38,82,0.40
2024-01-16T14:00,25.2,16.1,50,82,0.10
2024-01-16T15:00,25.5,18.4,50,81,0.00
2024-01-16T16:00,25.4,19.9,49,80,0.00
2024-01-16T17:00,24.9,20.0,51,81,0.00
2024-01-16T18:00,24.6,19.5,52,81,0.00
2024-01-16T19:00,24.2,18.6,47,82,0.00
2024-01-16T20:00,23.8,17.1,44,85,0.00
2024-01-16T21:00,24.1,18.3,45,84,0.00
2024-01-16T22:00,23.9,18.3,47,85,0.00
2024-01-16T23:00,23.8,15.8,43,85,0.00
2024-01-17T00:00,23.5,14.3,41,87,0.00
2024-01-17T01:00,23.4,15.1,40,87,0.00
2024-01-17T02:00,23.4,16.4,40,87,0.10
2024-01-17T03:00,23.6,17.6,44,85,0.00
2024-01-17T04:00,23.8,18.3,47,84,0.00
2024-01-17T05:00,23.6,17.6,44,85,0.00
2024-01-17T06:00,23.6,17.6,41,85,0.00
2024-01-17T07:00,24.0,17.5,37,85,0.00
2024-01-17T08:00,25.0,19.5,39,83,0.00
2024-01-17T09:00,25.7,18.8,36,81,0.30
2024-01-17T10:00,26.8,22.2,40,77,0.40
2024-01-17T11:00,26.3,22.7,44,79,0.40
2024-01-17T12:00,26.4,24.0,47,79,0.20
2024-01-17T13:00,26.9,26.2,46,75,0.10
2024-01-17T14:00,27.2,26.7,47,74,0.10
2024-01-17T15:00,26.8,23.7,48,74,0.00
2024-01-17T16:00,26.0,19.5,51,81,1.40
2024-01-17T17:00,24.9,22.0,50,83,2.00
2024-01-17T18:00,24.4,20.2,51,84,0.20
2024-01-17T19:00,24.2,19.5,51,84,0.00
2024-01-17T20:00,24.1,17.1,48,84,0.10
2024-01-17T21:00,24.2,14.8,56,83,0.00
2024-01-17T22:00,24.1,14.6,52,82,0.00
2024-01-17T23:00,24.0,13.2,55,82,0.00
2024-01-18T00:00,24.0,13.8,57,81,0.00
2024-01-18T01:00,24.1,13.8,57,80,0.00
2024-01-18T02:00,24.4,16.1,51,78,0.00
2024-01-18T03:00,24.4,16.6,51,78,0.00
2024-01-18T04:00,24.1,14.9,53,80,0.00
2024-01-18T05:00,24.0,14.9,53,81,0.10
2024-01-18T06:00,24.0,14.0,44,83,0.10
2024-01-18T07:00,24.5,13.8,43,84,0.00
2024-01-18T08:00,25.5,15.4,37,82,0.00
2024-01-18T09:00,24.9,11.9,25,88,0.40
2024-01-18T10:00,25.6,14.2,30,86,0.90
2024-01-18T11:00,26.3,17.0,36,84,0.40
2024-01-18T12:00,27.1,19.6,41,80,0.70
2024-01-18T13:00,26.8,16.3,41,81,0.60
2024-01-18T14:00,26.8,16.4,40,81,0.20
2024-01-18T15:00,26.2,15.4,37,82,0.30
2024-01-18T16:00,25.9,15.5,31,83,0.20
2024-01-18T17:00,25.1,13.7,27,87,0.10
2024-01-18T18:00,24.6,14.7,22,87,0.00
2024-01-18T19:00,24.1,14.0,18,90,0.00
2024-01-18T20:00,23.9,13.2,17,91,0.00
2024-01-18T21:00,24.1,12.4,17,90,0.00
2024-01-18T22:00,23.7,12.0,16,92,0.00
2024-01-18T23:00,23.6,12.6,20,92,0.00
2024-01-19T00:00,23.4,12.9,36,93,0.00
2024-01-19T01:00,23.1,9.8,54,93,0.00
2024-01-19T02:00,23.1,9.9,46,92,0.00
2024-01-19T03:00,23.0,8.2,41,93,0.00
2024-01-19T04:00,23.1,8.2,49,93,0.00
2024-01-19T05:00,23.2,10.2,45,92,0.00
2024-01-19T06:00,23.1,8.7,42,93,0.00
2024-01-19T07:00,24.3,12.3,40,88,0.00
2024-01-19T08:00,25.7,13.5,34,83,0.00
2024-01-19T09:00,26.6,10.9,27,84,0.30
2024-01-19T10:00,26.4,12.0,21,85,0.70
2024-01-19T11:00,27.7,19.6,36,79,0.10
2024-01-19T12:00,28.1,18.3,47,77,0.10
2024-01-19T13:00,29.1,19.1,47,71,0.10
2024-01-19T14:00,29.0,16.7,53,69,0.00
2024-01-19T15:00,28.9,17.1,49,70,0.00
2024-01-19T16:00,28.2,15.9,51,71,0.00
2024-01-19T17:00,27.0,13.6,40,76,0.00
2024-01-19T18:00,25.8,11.5,39,79,0.00
2024-01-19T19:00,25.2,10.9,44,81,0.00
2024-01-19T20:00,24.6,10.5,41,84,0.00
2024-01-19T21:00,24.7,8.4,31,84,0.00
2024-01-19T22:00,24.1,7.7,28,86,0.00
2024-01-19T23:00,23.6,7.6,31,89,0.00
2024-01-20T00:00,23.2,7.4,47,91,0.00
2024-01-20T01:00,22.8,7.3,57,92,0.00
2024-01-20T02:00,22.4,7.5,55,93,0.00
2024-01-20T03:00,21.7,8.6,68,95,0.00
2024-01-20T04:00,21.4,7.9,60,96,0.00
2024-01-20T05:00,20.9,9.2,59,98,0.00
2024-01-20T06:00,21.0,10.5,59,98,0.00
2024-01-20T07:00,22.2,9.6,56,95,0.00
2024-01-20T08:00,24.6,8.5,28,88,0.00
2024-01-20T09:00,26.7,14.0,23,77,0.00
2024-01-20T10:00,27.8,16.6,41,71,0.00
2024-01-20T11:00,28.6,17.4,40,68,0.10
2024-01-20T12:00,29.3,16.1,39,65,0.00
2024-01-20T13:00,29.5,16.0,36,64,0.00
2024-01-20T14:00,29.5,15.0,44,64,0.10
2024-01-20T15:00,29.1,12.1,53,67,0.10
2024-01-20T16:00,28.5,12.0,41,69,0.00
2024-01-20T17:00,27.1,8.9,32,75,0.00
2024-01-20T18:00,25.9,8.6,33,77,0.00
2024-01-20T19:00,25.1,7.8,22,80,0.00
2024-01-20T20:00,24.4,6.4,27,84,0.00
2024-01-20T21:00,23.8,3.9,22,89,0.00
2024-01-20T22:00,24.2,3.8,17,88,0.00
2024-01-20T23:00,23.8,4.0,10,91,0.00
2024-01-21T00:00,23.4,5.4,20,93,0.00
2024-01-21T01:00,22.8,7.7,53,94,0.00
2024-01-21T02:00,22.3,8.1,69,94,0.00
2024-01-21T03:00,22.0,8.7,73,92,0.00
2024-01-21T04:00,22.0,7.5,73,90,0.00
2024-01-21T05:00,21.8,6.2,69,90,0.00
2024-01-21T06:00,21.9,6.3,66,88,0.00
2024-01-21T07:00,23.8,8.7,48,84,0.00
2024-01-21T08:00,25.7,10.5,27,77,0.00
2024-01-21T09:00,27.2,14.6,38,69,0.00
2024-01-21T10:00,28.2,15.2,36,67,0.00
2024-01-21T11:00,29.2,15.3,34,64,0.00
2024-01-21T12:00,30.0,15.4,37,59,0.00
2024-01-21T13:00,30.5,14.7,36,56,0.00
2024-01-21T14:00,31.1,14.4,37,53,0.00
2024-01-21T15:00,30.8,15.0,46,55,0.00
2024-01-21T16:00,29.3,15.8,63,63,0.00
2024-01-21T17:00,27.9,13.2,68,68,0.00
2024-01-21T18:00,26.8,9.2,64,71,0.00
